cityName,year,amount
Kabupaten Simeulue,2023,3413564
Kabupaten Aceh Singkil,2023,3413564
Kabupaten Aceh Selatan,2023,3413564
Kabupaten Aceh Tenggara,2023,3413564
Kabupaten Aceh Timur,2023,3413564
Kabupaten Aceh Tengah,2023,3413564
Kabupaten Aceh Barat,2023,3413564
Kabupaten Aceh Besar,2023,3413564
Kabupaten Pidie,2023,3413564
Kabupaten Bireuen,2023,3413564
Kabupaten Aceh Utara,2023,3413564
Kabupaten Aceh Barat Daya,2023,3413564
Kabupaten Gayo Lues,2023,3413564
Kabupaten Nagan Raya,2023,3413564
Kabupaten Aceh Jaya,2023,3413564
Kabupaten Bener Meriah,2023,3413564
Kabupaten Pidie Jaya,2023,3413564
Kota Sabang,2023,3413564
Kota Langsa,2023,3413564
Kota Lhokseumawe,2023,3413564
Kota Subulussalam,2023,3413564
Kabupaten Aceh Tamiang,2023,3443509
Kota Banda Aceh,2023,3611064
Kabupaten Karo,2023,3240040
Kabupaten Deli Serdang,2023,3380993
Kabupaten Batu Bara,2023,3329452
Kota Medan,2023,3635652
Kabupaten Indragiri Hilir,2023,3192466
Kabupaten Kepulauan Meranti,2023,3192466
Kabupaten Kuantan Singingi,2023,3359898
Kabupaten Indragiri Hulu,2023,3369368
Kabupaten Pelalawan,2023,3290075
Kabupaten Siak,2023,3358459
Kabupaten Kampar,2023,3306941
Kabupaten Rokan Hulu,2023,3256706
Kabupaten Bengkalis,2023,3579010
Kabupaten Rokan Hilir,2023,3228898
Kota Pekanbaru,2023,3344558
Kota Dumai,2023,3747378
Kota Jambi,2023,3282037
Kabupaten Ogan Komering Ulu,2023,3404110
Kabupaten Ogan Komering Ilir,2023,3404110
Kabupaten Lahat,2023,3404110
Kabupaten Ogan Komering Ulu Selatan,2023,3404110
Kabupaten Ogan Ilir,2023,3404110
Kabupaten Empat Lawang,2023,3404110
Kabupaten Penukal Abab Lematang Ilir,2023,3404110
Kota Prabumulih,2023,3404110
Kota Pagar Alam,2023,3404110
Kota Lubuklinggau,2023,3404110
Kabupaten Muara Enim,2023,3572251
Kabupaten Musi Rawas,2023,3510518
Kabupaten Musi Banyuasin,2023,3493593
Kabupaten Banyuasin,2023,3435045
Kabupaten Ogan Komering Ulu Timur,2023,3467100
Kabupaten Musi Rawas Utara,2023,3510519
Kota Palembang,2023,3621458
Kabupaten Bangka,2023,3498654
Kabupaten Belitung,2023,3498654
Kabupaten Bangka Barat,2023,3498654
Kabupaten Bangka Tengah,2023,3498654
Kabupaten Bangka Selatan,2023,3498654
